GENUS;SPECIES;ORDER;FAMILY;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Peregrinosquama;costata;Incerti_ordinis;Incertae_familiae;N;Devonian;Emsian;407,6;Emsian;393,3;400,45;Y;Pioneer Island;sample P-10-1;Asia;X;X;X;X;N;1;1;1;0;0;0;0;Y;N;NA
Watsonacanthus;oervigi;Incerti_ordinis;Climatiidae;N;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;Tareya River;Dolgan layers;Asia;Europe;X;X;X;N;1;1;1;0;0;0;0;Y;N;NA
Watsonacanthus;oervigi;Incerti_ordinis;Climatiidae;Y;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;Mount Watson;Elsvikfjellet;Asia;Europe;X;X;X;N;1;1;1;0;0;0;0;Y;N;NA
Watsonacanthus;sibiricus;Incerti_ordinis;Climatiidae;N;Devonian;Emsian;407,6;Emsian;393,3;400,45;N;Tareya River;Wijdeaspsis arctica zone;Asia;X;X;X;X;N;NA;NA;NA;NA;NA;NA;NA;Y;N;NA
Wetteldorfia;sp.;Incerti_ordinis;Climatiidae;N;Devonian;Emsian;407,6;Emsian;393,3;400,45;N;Al Qalibah region;Jawf;Asia;X;X;X;X;N;0;1;1;0;0;0;0;Y;N;NA
Wetteldorfia;triangula;Incerti_ordinis;Climatiidae;N;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;Schurf Wetteldorfer Richtschnitt;Lauch;Europe;X;X;X;X;N;0;1;1;1;1;0;0;Y;N;NA
Wetteldorfia;triangula;Incerti_ordinis;Climatiidae;Y;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;W Couvin;Heisdorf;Europe;X;X;X;X;N;0;1;1;1;1;0;0;Y;N;NA
Wetteldorfia;triangula;Incerti_ordinis;Climatiidae;Y;Devonian;Emsian;407,6;Eifelian;387,7;397,65;N;Steinbruch am Euelsberg;Wetteldorf;Europe;X;X;X;X;N;0;1;1;1;1;0;0;Y;N;NA
Euthacanthus;gracilis;Incerti_ordinis;Euthacanthidae;N;Devonian;Lochkovian;419,2;Lochkovian;410,8;415;N;Tealing;Dundee Flagstone;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;N;NA
Euthacanthus;gracilis;Incerti_ordinis;Euthacanthidae;Y;Devonian;Lochkovian;419,2;Lochkovian;410,8;415;N;Farnell;Dundee Flagstone;Europe;X;X;X;X;N;1;0;0;0;0;0;0;N;N;NA
