COLLECTION,Longitude,Latitude,MID.POINT,GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,LAZARUS,FORMATION,CONTINENT.1,CONTINENT.2,CONTINENT.3,CONTINENT.4,CONTINENT.5,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY,plng,plat
Lethen Bar,-3.7,57.5,388,Diplacanthus,crassisimus,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.52737032654212,-18.4728054323801
Lethen Bar,-3.7,57.5,388,Cheiracanthus,microlepidotus,Acanthodiiformes,Cheiracanthidae,Stem,NA,NA,N,N,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.52737032654212,-18.4728054323801
Leyburn,-1.8,54.3,329.4,Carcharopsis,dentatus,Incerti ordinis,Incertae familiae,Stem,NA,Elasmobranchii,N,Y,Carboniferous,Tournaisian,358.9,Gzhelian,298.9,N,Carboniferous Limestone,Europe,X,X,X,X,N,1,1,1,0,0,0,0,N,N,Y,11.240626033105382,2.807166627395112
Leyburn,-1.8,54.3,341.05,Echinodus,paradoxus,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Tournaisian,358.9,Serpukhovian,323.2,N,Carboniferous Limestone,Europe,X,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,Y,N,N,0.1753556034219395,-4.7765943804396755
Leyenküppel,7.9,50,405.05,Machaeracanthus,sp.,Incerti_ordinis,Machaeracanthidae,Stem,NA,NA,N,Y,S - D,Gorstian,427.4,Givetian,382.7,?,Taunusquarzit,Europe,North America,Asia,Africa,X,N/S,0,1,1,1,1,1,1,N,N,NA,-31.026501879859072,-23.506953770398873
Leyenküppel,7.9,50,409.2,Machaeracanthus,kayseri,Incerti_ordinis,Machaeracanthidae,Stem,NA,NA,N,Y,Devonian,Pragian,410.8,Pragian,407.6,N,Taunusquarzit,Europe,X,X,X,X,N,0,1,1,0,0,0,0,N,Y,NA,-30.718468203535718,-21.290415983041704
Liege,5.6,50.6,341.05,Antacanthus,insignis,Incerti_ordinis,Gyracanthidae,Stem,NA,NA,N,N,Carboniferous,Tournaisian,358.9,Serpukhovian,323.2,N,Carboniferous Limestone,Europe,X,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,5.917548197351332,-5.909485916919687
Lijiang County,100.2,26.9,406.25,Cheiracanthoides,wangi,Incerti_ordinis,Incertae_familiae,Stem,NA,NA,N,Y,Devonian,Lochkovian,419.2,Emsian,393.3,N,Alengchu,Asia,X,X,X,,N,0,1,1,1,0,0,0,Y,N,NA,93.15996169417441,-7.048460394184399
Lijiang County,100.2,26.9,406.25,Cheiracanthoides,wangi,Incerti_ordinis,Incertae_familiae,Stem,NA,NA,N,Y,Devonian,Lochkovian,419.2,Emsian,393.3,N,Shanjiang and Alengchu,Asia,X,X,X,,N,0,1,1,1,0,0,0,Y,N,NA,93.15996169417441,-7.048460394184399
Lijiang County,100.2,26.9,408.15,Nostolepis,gracilis,Incerti_ordinis,Climatiidae,Stem,NA,NA,N,Y,Silurian,Pridoli,423,Emsian,393.3,N,Shanjiang and Alengchu,Europe,North America,Asia,X,,N,0,1,1,1,0,0,0,Y,N,NA,93.47011140260072,-6.939012207263245
Lijiang County,100.2,26.9,408.15,Cheiracanthoides,sp.,Incerti_ordinis,Incertae_familiae,Stem,NA,NA,N,Y,S - D,Pridoli,423,Emsian,393.3,N,Shanjiang and Alengchu,Asia,Europe,X,X,,N,1,1,0,0,1,1,0,Y,N,NA,93.47011140260072,-6.939012207263245
