GENUS;SPECIES;ORDER;FAMILY;SUBCLASS;GROUP_GINTER;GROUP_GINTER2;TOOTH_PLATE;SCM1;SCM2;SCM_average;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Bransonella;sp.;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;14,375;14,375;7,4375;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Lake Arbuckle;Caney Shale;North America;Asia;X;X;X;N;0;0;0;0;0;1;1;N;N;N
Bransonella;sp.;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;14,375;14,375;7,4375;Y;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Medynskaya-5 borehole;;North America;Asia;X;X;X;N;0;0;0;0;0;1;1;N;N;N
Bransonella;tridentata;Bransonelliformes;Incertae familiae;Elasmobranchii;Xenacanthimorpha;Elasmobranchii;N;0,5;0,5;0,5;N;Carboniferous;Bashkirian;323,2;Bashkirian;315,2;319,2;N;Ouachita Mountains;Johns Valley shale;North America;X;X;X;X;N;0;0;0;0;0;0;1;N;N;Y
Similihariotta;dabasinskasi;Chimaeriformes;Chimaeridae;Holocephali;Euchondrocephali;Euchondrocephali;Y;19,675;19,675;19,675;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Pit 11, Peabody Coal Company;Carbondale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;N
Echinochimaera;elusiva;Chimaeriformes;Echinochimaeridae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;indiana;Chimaeriformes;Echinochimaeridae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;kellyi;Chimaeriformes;Echinochimaeridae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;meltoni;Chimaeriformes;Echinochimaeridae;Holocephali;Euchondrocephali;Euchondrocephali;Y;60,475;78,2;49,03333333;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Supercrop Quarry;Heath;North America;X;X;X;X;N;0;0;1;1;1;0;0;N;N;N
Echinochimaera;sulphurea;Chimaeriformes;Echinochimaeridae;Holocephali;Euchondrocephali;Euchondrocephali;Y;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;0;1;0;0;0;0;0;N;N;Y
Eucentrurus;paradoxus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;22,2;24,05;15,4625;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Ardross;Calciferous Sandstone Series;Europe;X;X;X;X;N;1;1;1;0;0;0;0;N;N;N
Harpagofututor;volsellorhinus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;75,625;89,375;52,90416667;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Supercrop Quarry;Heath;North America;X;X;X;X;N;0;0;1;1;1;0;0;N;N;N
Harpagofututor;volsellorhinus;Chondrenchelyiformes;Chondrenchelyidae;Holocephali;Euchondrocephali;Euchondrocephali;Y;75,625;89,375;52,90416667;Y;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Three Pillars Quarry;Heath;North America;X;X;X;X;N;0;0;1;1;1;0;0;N;N;N
