GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,MID POINT,LAZARUS,COLLECTION,FORMATION,Latitude,Longitude,CONTINENT,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY
Bransonella,sp.,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,Carboniferous,Tournaisian,358.9,Serpukhovian,323.2,341.05,N,Lake Arbuckle,Caney Shale,34.4,-97,North America,N,0,0,0,0,0,1,1,N,N,N
Bransonella,sp.,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,Carboniferous,Tournaisian,358.9,Serpukhovian,323.2,341.05,N,Medynskaya-5 borehole,,68.9,59,Asia,N,0,0,0,0,0,1,1,N,N,N
Bransonella,tridentata,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,Carboniferous,Bashkirian,323.2,Bashkirian,315.2,319.2,N,Ouachita Mountains,Johns Valley shale,34.5,-94.5,North America,N,0,0,0,0,0,0,1,N,N,Y
Similihariotta,dabasinskasi,Chimaeriformes,Chimaeridae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Moscovian ,315.2,Moscovian ,307,311.1,N,"Pit 11, Peabody Coal Company",Carbondale,41.2,-88.2,North America,N,0,1,0,0,0,0,0,N,N,N
Echinochimaera,elusiva,Chimaeriformes,Echinochimaeridae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Serpukhovian,323.2,334.95,N,Crawford County,Indian Springs Shale,38.3,-86.4,North America,N,0,1,0,0,0,0,0,N,N,Y
Echinochimaera,indiana,Chimaeriformes,Echinochimaeridae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Serpukhovian,323.2,334.95,N,Crawford County,Indian Springs Shale,38.3,-86.4,North America,N,0,1,0,0,0,0,0,N,N,Y
Echinochimaera,kellyi,Chimaeriformes,Echinochimaeridae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Serpukhovian,323.2,334.95,N,Crawford County,Indian Springs Shale,38.3,-86.4,North America,N,0,1,0,0,0,0,0,N,N,Y
Echinochimaera,meltoni,Chimaeriformes,Echinochimaeridae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Serpukhovian,330.9,Serpukhovian,323.2,327.05,N,Supercrop Quarry,Heath,47,-108.9,North America,N,0,0,1,1,1,0,0,N,N,N
Echinochimaera,sulphurea,Chimaeriformes,Echinochimaeridae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Serpukhovian,323.2,334.95,N,Crawford County,Indian Springs Shale,38.3,-86.4,North America,N,0,1,0,0,0,0,0,N,N,Y
Eucentrurus,paradoxus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Visean,346.7,Visean,330.9,338.8,N,Ardross,Calciferous Sandstone Series,56.2,-2.8,Europe,N,1,1,1,0,0,0,0,N,N,N
Harpagofututor,volsellorhinus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,N,Carboniferous,Serpukhovian,330.9,Serpukhovian,323.2,327.05,N,Supercrop Quarry,Heath,47,-108.9,North America,N,0,0,1,1,1,0,0,N,N,N
Harpagofututor,volsellorhinus,Chondrenchelyiformes,Chondrenchelyidae,Holocephali,Euchondrocephali,Euchondrocephali,Y,Y,Carboniferous,Serpukhovian,330.9,Serpukhovian,323.2,327.05,N,Three Pillars Quarry,Heath,47,108.9,North America,N,0,0,1,1,1,0,0,N,N,N
